StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,questions_1_DO,questions_2_DO
2022-11-14 09:48:54,2022-11-14 09:52:28,0,107.3.31.123,100,214,1,2022-11-14 09:52:29,R_1lfVloZOsokfPHB,,,,,39.9552,-76.6653,anonymous,EN,1,2,2,24.951,24.951,26.085,1,0,0,11.168,0,80,29,27,29,20,36,29,71,1,1,12,14,2,,41,4,,Q90|negligence|vB_sue|vA_sue|defective,Q71|counterfactual|fault|capability
2022-11-14 09:50:26,2022-11-14 09:52:30,0,47.215.235.136,100,124,1,2022-11-14 09:52:31,R_3J3kHL5C3IeeHOm,,,,,34.8266,-111.7506,anonymous,EN,1,2,2,3.761,17.765,18.684,4,0,0,13.37,0,100,0,0,0,0,0,0,100,,1,25,33,1,,35,3,,Q90|vB_sue|vA_sue|negligence|defective,Q71|capability|counterfactual|fault
2022-11-14 09:49:05,2022-11-14 09:52:37,0,98.162.197.184,100,211,1,2022-11-14 09:52:37,R_1gkgAnDQKITJN30,,,,,35.6211,-97.4757,anonymous,EN,1,2,2,37.092,37.609,38.646,2,3.611,3.611,11.666,1,88,0,14,10,9,10,54,83,,1,24,54,1,,37,4,,Q90|defective|vA_sue|negligence|vB_sue,Q71|capability|fault|counterfactual
2022-11-14 09:48:25,2022-11-14 09:52:39,0,65.141.198.90,100,254,1,2022-11-14 09:52:40,R_1d6rHvL4I7waCPe,,,,,33.5401,-112.3161,anonymous,EN,1,2,2,0,0,19.554,0,0,0,11.541,0,100,0,0,0,0,0,0,50,,1,0,0,1,,39,3,,Q90|defective|vA_sue|vB_sue|negligence,Q71|fault|counterfactual|capability
2022-11-14 09:48:58,2022-11-14 09:52:54,0,73.250.52.100,100,236,1,2022-11-14 09:52:55,R_SN51APwanHcJQwV,,,,,38.9187,-75.4291,anonymous,EN,1,2,2,0,0,23.933,0,0,0,14.422,0,100,0,0,0,0,0,80,100,,1,20,0,2,,42,8,Associate's degree,Q90|defective|vB_sue|negligence|vA_sue,Q71|capability|fault|counterfactual
2022-11-14 09:49:59,2022-11-14 09:52:58,0,66.170.10.226,100,178,1,2022-11-14 09:52:58,R_3EbtUQCgu6DWW1x,,,,,43.0334,-89.4512,anonymous,EN,1,2,2,0,0,14.11,0,11.018,11.018,11.489,1,100,0,0,0,0,0,0,40,,1,20,0,1,,28,5,,Q90|vA_sue|negligence|vB_sue|defective,Q71|counterfactual|capability|fault
2022-11-14 09:48:54,2022-11-14 09:53:00,0,73.161.249.109,100,246,1,2022-11-14 09:53:01,R_3e1sateJgP8w5IB,,,,,42.558,-82.998,anonymous,EN,1,2,2,8.758,8.758,23.812,1,0,0,11.254,0,92,4,12,8,75,11,8,86,1,1,16,7,2,,34,2,,Q90|defective|vA_sue|negligence|vB_sue,Q71|capability|fault|counterfactual
2022-11-14 09:48:09,2022-11-14 09:53:03,0,75.48.78.21,100,294,1,2022-11-14 09:53:03,R_1GVJNXlEwYOQltQ,,,,,37.9545,-121.9759,anonymous,EN,1,2,2,0,0,13.213,0,0,0,10.983,0,100,0,0,0,0,0,50,83,1,1,70,0,1,,42,4,,Q90|defective|negligence|vB_sue|vA_sue,Q71|fault|counterfactual|capability
2022-11-14 09:48:55,2022-11-14 09:53:03,0,73.101.14.172,100,248,1,2022-11-14 09:53:04,R_1kULTFZGcOHiKkm,,,,,41.2723,-75.8887,anonymous,EN,1,2,2,0,0,25.729,0,0,0,12.479,0,75,73,0,5,69,24,27,15,,1,0,3,1,,46,2,,Q90|vA_sue|vB_sue|negligence|defective,Q71|capability|fault|counterfactual
2022-11-14 09:48:20,2022-11-14 09:53:04,0,185.251.19.53,100,284,1,2022-11-14 09:53:04,R_RKPZPZYVWnyStTH,,,,,38.894,-77.0365,anonymous,EN,1,2,2,0,0,38.617,0,0,0,16.169,0,50,61,47,71,28,39,62,42,,1,71,60,1,,31,4,,Q90|vA_sue|defective|vB_sue|negligence,Q71|capability|counterfactual|fault
2022-11-14 09:49:52,2022-11-14 09:53:09,0,216.49.47.157,100,196,1,2022-11-14 09:53:09,R_psDIblbgtPEjguR,,,,,41.1285,-75.0132,anonymous,EN,1,2,2,0,0,18.088,0,0,0,12.329,0,100,3,4,3,2,10,23,86,,1,73,13,1,,30,1,,Q90|defective|negligence|vB_sue|vA_sue,Q71|counterfactual|fault|capability
2022-11-14 09:48:10,2022-11-14 09:53:09,0,24.117.101.150,100,299,1,2022-11-14 09:53:10,R_2ZQ9PpjJAfcybuN,,,,,43.1943,-112.3615,anonymous,EN,1,2,2,0,0,36.055,0,0,0,11.822,0,100,0,11,100,5,30,100,75,,1,40,30,1,,66,3,,Q90|vB_sue|vA_sue|negligence|defective,Q71|capability|counterfactual|fault
2022-11-14 09:50:23,2022-11-14 09:53:09,0,129.222.85.85,100,166,1,2022-11-14 09:53:10,R_u84hJxDVEfIHetX,,,,,33.844,-84.4784,anonymous,EN,1,2,2,0,0,15.949,0,21.377,21.377,21.663,1,100,0,19,0,0,10,0,100,,1,0,0,2,,35,1,,Q90|vB_sue|negligence|vA_sue|defective,Q71|fault|counterfactual|capability
2022-11-14 09:50:13,2022-11-14 09:53:19,0,69.201.37.59,100,186,1,2022-11-14 09:53:19,R_cCLtyiASOktWvVT,,,,,42.9716,-76.223,anonymous,EN,1,2,2,0,0,12.283,0,0,0,21.129,0,100,0,0,0,0,0,100,50,,1,10,0,1,,31,1,,Q90|vB_sue|negligence|defective|vA_sue,Q71|counterfactual|capability|fault
2022-11-14 09:53:12,2022-11-14 09:53:22,0,76.180.67.64,100,9,1,2022-11-14 09:53:22,R_1kYrYXr0Y9Twdk0,,,,,42.9297,-78.7434,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14 09:50:24,2022-11-14 09:53:44,0,184.167.229.24,100,199,1,2022-11-14 09:53:44,R_XRiBjTral1oUkKJ,,,,,45.9979,-112.5988,anonymous,EN,1,2,2,0,0,20.174,0,0,0,11.575,0,100,0,0,0,0,33,100,100,,1,10,0,1,,50,3,,Q90|negligence|defective|vA_sue|vB_sue,Q71|counterfactual|fault|capability
2022-11-14 09:48:21,2022-11-14 09:54:06,0,73.237.103.81,100,345,1,2022-11-14 09:54:06,R_2uOmbfzHF4HjR3j,,,,,34.2015,-84.4222,anonymous,EN,1,2,2,0,0,12.553,0,0,0,29.595,0,0,100,0,0,0,0,21,20,,1,0,1,2,,35,4,,Q90|vB_sue|defective|vA_sue|negligence,Q71|counterfactual|fault|capability
2022-11-14 09:51:20,2022-11-14 09:54:09,0,174.84.79.207,100,169,1,2022-11-14 09:54:10,R_3VnzvpX1Lqs61kl,,,,,42.9468,-83.817,anonymous,EN,1,2,2,0,0,18.2,0,0,0,12.648,0,100,0,0,0,10,20,90,80,,1,65,70,2,,36,4,,Q90|defective|negligence|vA_sue|vB_sue,Q71|capability|fault|counterfactual
2022-11-14 09:49:19,2022-11-14 09:54:22,0,24.73.13.115,100,303,1,2022-11-14 09:54:23,R_2OMVoCE731EAjIP,,,,,28.3318,-82.2446,anonymous,EN,1,2,2,0,0,16.643,0,0,0,12.944,0,100,100,0,0,0,27,100,92,,1,12,0,1,,35,3,,Q90|negligence|vB_sue|defective|vA_sue,Q71|counterfactual|fault|capability
2022-11-14 09:48:47,2022-11-14 09:54:28,0,67.77.218.157,100,340,1,2022-11-14 09:54:29,R_1Oox8OZnRZeEZZA,,,,,35.4452,-76.6389,anonymous,EN,1,2,2,0,0,31.89,0,0,0,14.702,0,65,20,18,10,30,50,75,50,1,1,0,0,2,,62,4,,Q90|defective|vA_sue|vB_sue|negligence,Q71|counterfactual|fault|capability
2022-11-14 09:52:31,2022-11-14 09:54:44,0,67.184.124.196,100,133,1,2022-11-14 09:54:45,R_2Vkc48qtQljPXeF,,,,,41.85,-87.7165,anonymous,EN,1,2,2,14.498,14.498,17.552,1,0,0,14.501,0,87,4,50,25,26,15,69,74,,1,66,28,1,,26,4,,Q90|negligence|vA_sue|vB_sue|defective,Q71|capability|fault|counterfactual
2022-11-14 09:51:54,2022-11-14 09:54:53,0,76.137.87.97,100,178,1,2022-11-14 09:54:53,R_OxnZ7oYbnjfTnkR,,,,,26.3796,-80.1029,anonymous,EN,1,2,2,0,0,29.814,0,0,0,12.796,0,91,10,10,15,91,9,70,31,,1,21,12,2,,30,5,,Q90|vB_sue|defective|negligence|vA_sue,Q71|counterfactual|capability|fault
2022-11-14 09:53:28,2022-11-14 09:55:01,0,174.21.137.4,100,93,1,2022-11-14 09:55:02,R_eo1pCdxSIu9pywN,,,,,47.6348,-122.3451,anonymous,EN,1,2,2,0,0,11.095,0,10.864,10.864,11.185,1,81,90,26,73,73,60,39,36,,1,16,61,1,,29,1,,Q90|vA_sue|vB_sue|negligence|defective,Q71|capability|fault|counterfactual
2022-11-14 09:51:11,2022-11-14 09:55:12,0,97.73.100.63,100,241,1,2022-11-14 09:55:13,R_3h4PxaENgkdLeuS,,,,,35.2296,-80.843,anonymous,EN,1,2,2,0,0,23.688,0,0,0,14.221,0,80,0,0,0,10,60,90,99,,1,40,55,1,,,5,,Q90|vB_sue|negligence|defective|vA_sue,Q71|counterfactual|capability|fault
2022-11-14 09:50:11,2022-11-14 09:55:30,0,73.95.34.151,100,318,1,2022-11-14 09:55:30,R_831jGGe5329558l,,,,,38.8898,-104.7433,anonymous,EN,1,2,2,0,0,48.697,0,0,0,14.477,0,100,0,0,0,0,0,0,90,,1,0,0,1,,52,5,,Q90|vB_sue|defective|vA_sue|negligence,Q71|counterfactual|capability|fault
2022-11-14 09:49:02,2022-11-14 09:55:36,0,71.234.179.238,100,394,1,2022-11-14 09:55:36,R_1EgPYk4sCmj26YT,,,,,42.3654,-72.4671,anonymous,EN,1,2,2,0,0,42.183,0,0,0,17.97,0,90,0,0,0,0,5,50,100,,1,5,0,2,,50,3,,Q90|negligence|defective|vB_sue|vA_sue,Q71|fault|capability|counterfactual
2022-11-14 09:50:46,2022-11-14 09:55:49,0,174.21.98.203,100,303,1,2022-11-14 09:55:50,R_2Ptmf1yZXK4ktJs,,,,,47.2476,-122.4643,anonymous,EN,1,2,2,0,0,24.072,0,0,0,19.601,0,99,3,9,1,7,19,50,92,,1,12,8,2,,57,2,,Q90|vA_sue|negligence|defective|vB_sue,Q71|capability|counterfactual|fault
2022-11-14 09:53:23,2022-11-14 09:56:15,0,75.84.114.212,100,171,1,2022-11-14 09:56:15,R_1OJmprJSQdqOx4m,,,,,33.9212,-118.1424,anonymous,EN,1,2,2,0,0,22.734,0,0,0,19.784,0,75,10,10,22,40,70,80,45,,1,15,8,1,,37,1,,Q90|negligence|vA_sue|vB_sue|defective,Q71|capability|counterfactual|fault
2022-11-14 09:49:52,2022-11-14 09:56:42,0,173.59.2.187,100,409,1,2022-11-14 09:56:42,R_1DLLDRdtoIg6fFg,,,,,39.904,-75.5089,anonymous,EN,1,2,2,35.414,35.414,36.833,1,0,0,16.17,0,65,33,29,20,25,35,50,50,,1,35,40,2,,51,1,,Q90|negligence|vB_sue|defective|vA_sue,Q71|fault|counterfactual|capability
2022-11-14 09:53:58,2022-11-14 09:57:05,0,76.107.22.101,100,186,1,2022-11-14 09:57:05,R_12AbHBmUeso40vU,,,,,35.1567,-89.9274,anonymous,EN,1,2,2,0,0,16.002,0,0,0,12.029,0,100,0,0,0,0,0,0,100,,1,68,36,1,,71,3,,Q90|vB_sue|negligence|defective|vA_sue,Q71|counterfactual|fault|capability
2022-11-14 09:48:50,2022-11-14 09:57:12,0,107.217.162.130,100,501,1,2022-11-14 09:57:12,R_pxG9CVK7ag4lKG5,,,,,30.5875,-97.8535,anonymous,EN,1,2,2,0,0,20.446,0,0,0,11.365,0,100,3,10,0,10,25,50,100,,1,30,20,1,,44,4,,Q90|vA_sue|defective|vB_sue|negligence,Q71|counterfactual|capability|fault
2022-11-14 09:51:38,2022-11-14 09:57:20,0,73.237.172.67,100,341,1,2022-11-14 09:57:20,R_22zfLbGLFyBf3h4,,,,,33.6012,-85.0507,anonymous,EN,1,2,2,0,0,62.639,0,17.156,17.156,19.673,1,100,0,0,0,0,30,100,71,,1,29,22,1,,56,3,,Q90|negligence|vB_sue|vA_sue|defective,Q71|fault|counterfactual|capability
2022-11-14 09:48:58,2022-11-14 09:57:56,0,67.231.55.60,100,538,1,2022-11-14 09:57:57,R_3HwCDuRMRunavMJ,,,,,29.2588,-82.2239,anonymous,EN,1,2,2,0,0,58.979,0,0,0,14.551,0,100,0,5,3,3,2,12,93,,1,0,2,2,,66,5,,Q90|negligence|defective|vB_sue|vA_sue,Q71|counterfactual|fault|capability
2022-11-14 09:55:10,2022-11-14 09:58:46,0,68.204.163.232,100,216,1,2022-11-14 09:58:47,R_spSDtOnPFqkrayR,,,,,28.3159,-80.7292,anonymous,EN,1,2,2,0,0,20.073,0,0,0,13.39,0,100,0,0,0,0,5,100,55,,1,60,30,1,,44,3,,Q90|defective|negligence|vB_sue|vA_sue,Q71|counterfactual|capability|fault
2022-11-14 09:51:26,2022-11-14 09:59:17,0,172.58.153.170,100,470,1,2022-11-14 09:59:17,R_3IaBZSyAGBRAzNA,,,,,34.0021,-81.0423,anonymous,EN,1,2,2,2.886,42.771,43.737,5,1.516,2.985,12.456,4,100,0,50,0,0,20,86,93,,1,79,61,1,,47,5,,Q90|vA_sue|defective|negligence|vB_sue,Q71|counterfactual|capability|fault
2022-11-14 09:55:02,2022-11-14 09:59:22,0,23.132.80.64,100,259,1,2022-11-14 09:59:22,R_sz2ZsMsvTKPON2x,,,,,43.9477,-86.2753,anonymous,EN,1,2,2,0,0,13.621,0,0,0,16.276,0,100,0,0,0,0,0,50,100,,1,0,0,2,,55,3,,Q90|vB_sue|vA_sue|defective|negligence,Q71|counterfactual|fault|capability
2022-11-14 09:55:19,2022-11-14 09:59:27,0,70.188.51.172,100,248,1,2022-11-14 09:59:28,R_21joa51VkWGlRzW,,,,,37.2348,-79.9464,anonymous,EN,1,2,2,0,0,17.665,0,16.122,16.122,16.553,1,100,0,0,0,0,0,20,90,,1,0,0,2,,35,3,,Q90|vA_sue|defective|negligence|vB_sue,Q71|capability|counterfactual|fault
2022-11-14 09:55:30,2022-11-14 09:59:31,0,71.28.80.35,100,240,1,2022-11-14 09:59:31,R_3Jw7he6gNYmXXxG,,,,,34.9251,-80.7278,anonymous,EN,1,2,2,0,0,26.537,0,0,0,14.647,0,100,0,0,0,0,3,58,15,,1,10,88,1,,47,3,,Q90|vA_sue|vB_sue|defective|negligence,Q71|counterfactual|capability|fault
2022-11-14 09:55:53,2022-11-14 09:59:32,0,107.131.145.149,100,218,1,2022-11-14 09:59:32,R_1FaeeMVyrejDiWW,,,,,41.4946,-90.5675,anonymous,EN,1,2,2,17.339,17.339,20.086,1,0,0,11.84,0,100,0,0,0,0,0,0,0,,1,14,15,1,,59,5,,Q90|vA_sue|negligence|vB_sue|defective,Q71|capability|fault|counterfactual
2022-11-14 09:56:02,2022-11-14 09:59:48,0,73.73.172.133,100,226,1,2022-11-14 09:59:49,R_yOX7qVZlw2VFRcZ,,,,,41.9409,-87.6532,anonymous,EN,1,2,2,0,0,15.965,0,0,0,12.103,0,100,0,0,0,0,20,50,100,,1,25,25,1,,49,4,,Q90|defective|negligence|vB_sue|vA_sue,Q71|fault|counterfactual|capability
2022-11-14 09:49:35,2022-11-14 09:59:51,0,162.210.194.37,100,615,1,2022-11-14 09:59:51,R_2D0R0ry27OR5TYe,,,,,39.715,-75.6178,anonymous,EN,1,2,2,0,0,41.864,0,0,0,121.916,0,90,79,61,62,73,68,50,56,1,1,61,50,1,,29,4,,Q90|vA_sue|vB_sue|negligence|defective,Q71|counterfactual|capability|fault
2022-11-14 09:58:41,2022-11-14 10:00:38,0,75.36.114.184,100,117,1,2022-11-14 10:00:38,R_1hXqOvtSRvTKRF9,,,,,36.0944,-95.9717,anonymous,EN,1,2,2,0,0,12.496,0,3.812,3.812,13.506,1,100,0,0,0,0,3,77,100,,1,9,0,2,,36,5,,Q90|negligence|vA_sue|defective|vB_sue,Q71|counterfactual|capability|fault
2022-11-14 09:55:19,2022-11-14 10:00:39,0,24.99.8.100,100,319,1,2022-11-14 10:00:39,R_1jJomxaJnVWUFJc,,,,,33.8654,-84.3385,anonymous,EN,1,2,2,0,0,25.472,0,0,0,14.994,0,100,0,15,5,5,20,75,85,,1,10,5,1,,35,4,,Q90|vA_sue|negligence|vB_sue|defective,Q71|counterfactual|capability|fault
